InQuestion(952,4842) => HasLabel(4842,0) 0.0 0
InQuestion(952,4842) => HasLabel(4842,1) *** 2.0 1
InQuestion(952,4843) => HasLabel(4843,0) 0.8221920728683472 2
InQuestion(952,4843) => HasLabel(4843,1) *** 1.1778079271316528 3
InQuestion(952,4844) => HasLabel(4844,0) *** 1.9820721130818129 4
InQuestion(952,4844) => HasLabel(4844,1) 0.01792788691818714 5
InQuestion(952,4845) => HasLabel(4845,0) *** 1.9483339674770832 6
InQuestion(952,4845) => HasLabel(4845,1) 0.051666032522916794 7
InQuestion(952,4846) => HasLabel(4846,0) 1.0013580322265625e-05 8
InQuestion(952,4846) => HasLabel(4846,1) *** 1.9999899864196777 9
InQuestion(952,4847) => HasLabel(4847,0) *** 1.9999815119190316 10
InQuestion(952,4847) => HasLabel(4847,1) 1.8488080968381837e-05 11
InQuestion(952,4844) & InQuestion(952,4845) => Contradict(4844,4845) *** 0.638946831226 114
InQuestion(952,4844) & InQuestion(952,4846) => Contradict(4844,4846) 0.0 116
InQuestion(952,4844) & InQuestion(952,4847) => Contradict(4844,4847) 0.0 118
InQuestion(952,4845) & InQuestion(952,4842) => Contradict(4845,4842) 0.0 120
InQuestion(952,4845) & InQuestion(952,4843) => Contradict(4845,4843) *** 0.68607455492 122
InQuestion(952,4845) & InQuestion(952,4844) => Contradict(4845,4844) 0.0 124
InQuestion(952,4845) & InQuestion(952,4845) => Contradict(4845,4845) 0.0 126
InQuestion(952,4845) & InQuestion(952,4846) => Contradict(4845,4846) 0.0 128
InQuestion(952,4845) & InQuestion(952,4847) => Contradict(4845,4847) 0.0 130
InQuestion(952,4846) & InQuestion(952,4842) => Contradict(4846,4842) 0.0 132
InQuestion(952,4846) & InQuestion(952,4843) => Contradict(4846,4843) *** 0.76520884037 134
InQuestion(952,4846) & InQuestion(952,4844) => Contradict(4846,4844) 0.0 136
InQuestion(952,4846) & InQuestion(952,4845) => Contradict(4846,4845) *** 0.452318072319 138
InQuestion(952,4846) & InQuestion(952,4846) => Contradict(4846,4846) 0.0 140
InQuestion(952,4846) & InQuestion(952,4847) => Contradict(4846,4847) 0.0 142
InQuestion(952,4847) & InQuestion(952,4842) => Contradict(4847,4842) 0.0 144
InQuestion(952,4847) & InQuestion(952,4843) => Contradict(4847,4843) *** 0.493876099586 146
InQuestion(952,4847) & InQuestion(952,4844) => Contradict(4847,4844) 0.0 148
InQuestion(952,4847) & InQuestion(952,4845) => Contradict(4847,4845) *** 0.895133912563 150
InQuestion(952,4847) & InQuestion(952,4846) => Contradict(4847,4846) 0.0 152
InQuestion(952,4847) & InQuestion(952,4847) => Contradict(4847,4847) 0.0 154
OrderedDict([('HasLabel(4842,0)', [<gurobi.Var h_0>, <gurobi.Var h_1>, [<gurobi.Var r_0>]]), ('~HasLabel(4842,0)', [<gurobi.Var h_1>, <gurobi.Var h_0>, []]), ('HasLabel(4842,1)', [<gurobi.Var h_2>, <gurobi.Var h_3>, [<gurobi.Var r_1>]]), ('~HasLabel(4842,1)', [<gurobi.Var h_3>, <gurobi.Var h_2>, []]), ('HasLabel(4843,0)', [<gurobi.Var h_4>, <gurobi.Var h_5>, [<gurobi.Var r_2>]]), ('~HasLabel(4843,0)', [<gurobi.Var h_5>, <gurobi.Var h_4>, []]), ('HasLabel(4843,1)', [<gurobi.Var h_6>, <gurobi.Var h_7>, [<gurobi.Var r_3>]]), ('~HasLabel(4843,1)', [<gurobi.Var h_7>, <gurobi.Var h_6>, []]), ('HasLabel(4844,0)', [<gurobi.Var h_8>, <gurobi.Var h_9>, [<gurobi.Var r_4>]]), ('~HasLabel(4844,0)', [<gurobi.Var h_9>, <gurobi.Var h_8>, []]), ('HasLabel(4844,1)', [<gurobi.Var h_10>, <gurobi.Var h_11>, [<gurobi.Var r_5>]]), ('~HasLabel(4844,1)', [<gurobi.Var h_11>, <gurobi.Var h_10>, []]), ('HasLabel(4845,0)', [<gurobi.Var h_12>, <gurobi.Var h_13>, [<gurobi.Var r_6>]]), ('~HasLabel(4845,0)', [<gurobi.Var h_13>, <gurobi.Var h_12>, []]), ('HasLabel(4845,1)', [<gurobi.Var h_14>, <gurobi.Var h_15>, [<gurobi.Var r_7>]]), ('~HasLabel(4845,1)', [<gurobi.Var h_15>, <gurobi.Var h_14>, []]), ('HasLabel(4846,0)', [<gurobi.Var h_16>, <gurobi.Var h_17>, [<gurobi.Var r_8>]]), ('~HasLabel(4846,0)', [<gurobi.Var h_17>, <gurobi.Var h_16>, []]), ('HasLabel(4846,1)', [<gurobi.Var h_18>, <gurobi.Var h_19>, [<gurobi.Var r_9>]]), ('~HasLabel(4846,1)', [<gurobi.Var h_19>, <gurobi.Var h_18>, []]), ('HasLabel(4847,0)', [<gurobi.Var h_20>, <gurobi.Var h_21>, [<gurobi.Var r_10>]]), ('~HasLabel(4847,0)', [<gurobi.Var h_21>, <gurobi.Var h_20>, []]), ('HasLabel(4847,1)', [<gurobi.Var h_22>, <gurobi.Var h_23>, [<gurobi.Var r_11>]]), ('~HasLabel(4847,1)', [<gurobi.Var h_23>, <gurobi.Var h_22>, []]), ('Entail(4842,4842)', [<gurobi.Var h_24>, <gurobi.Var h_25>, [<gurobi.Var r_12>]]), ('~Entail(4842,4842)', [<gurobi.Var h_25>, <gurobi.Var h_24>, [<gurobi.Var r_13>]]), ('Entail(4842,4843)', [<gurobi.Var h_26>, <gurobi.Var h_27>, [<gurobi.Var r_14>]]), ('~Entail(4842,4843)', [<gurobi.Var h_27>, <gurobi.Var h_26>, [<gurobi.Var r_15>]]), ('Entail(4842,4844)', [<gurobi.Var h_28>, <gurobi.Var h_29>, [<gurobi.Var r_16>]]), ('~Entail(4842,4844)', [<gurobi.Var h_29>, <gurobi.Var h_28>, [<gurobi.Var r_17>]]), ('Entail(4842,4845)', [<gurobi.Var h_30>, <gurobi.Var h_31>, [<gurobi.Var r_18>]]), ('~Entail(4842,4845)', [<gurobi.Var h_31>, <gurobi.Var h_30>, [<gurobi.Var r_19>]]), ('Entail(4842,4846)', [<gurobi.Var h_32>, <gurobi.Var h_33>, [<gurobi.Var r_20>]]), ('~Entail(4842,4846)', [<gurobi.Var h_33>, <gurobi.Var h_32>, [<gurobi.Var r_21>]]), ('Entail(4842,4847)', [<gurobi.Var h_34>, <gurobi.Var h_35>, [<gurobi.Var r_22>]]), ('~Entail(4842,4847)', [<gurobi.Var h_35>, <gurobi.Var h_34>, [<gurobi.Var r_23>]]), ('Entail(4843,4842)', [<gurobi.Var h_36>, <gurobi.Var h_37>, [<gurobi.Var r_24>]]), ('~Entail(4843,4842)', [<gurobi.Var h_37>, <gurobi.Var h_36>, [<gurobi.Var r_25>]]), ('Entail(4843,4843)', [<gurobi.Var h_38>, <gurobi.Var h_39>, [<gurobi.Var r_26>]]), ('~Entail(4843,4843)', [<gurobi.Var h_39>, <gurobi.Var h_38>, [<gurobi.Var r_27>]]), ('Entail(4843,4844)', [<gurobi.Var h_40>, <gurobi.Var h_41>, [<gurobi.Var r_28>]]), ('~Entail(4843,4844)', [<gurobi.Var h_41>, <gurobi.Var h_40>, [<gurobi.Var r_29>]]), ('Entail(4843,4845)', [<gurobi.Var h_42>, <gurobi.Var h_43>, [<gurobi.Var r_30>]]), ('~Entail(4843,4845)', [<gurobi.Var h_43>, <gurobi.Var h_42>, [<gurobi.Var r_31>]]), ('Entail(4843,4846)', [<gurobi.Var h_44>, <gurobi.Var h_45>, [<gurobi.Var r_32>]]), ('~Entail(4843,4846)', [<gurobi.Var h_45>, <gurobi.Var h_44>, [<gurobi.Var r_33>]]), ('Entail(4843,4847)', [<gurobi.Var h_46>, <gurobi.Var h_47>, [<gurobi.Var r_34>]]), ('~Entail(4843,4847)', [<gurobi.Var h_47>, <gurobi.Var h_46>, [<gurobi.Var r_35>]]), ('Entail(4844,4842)', [<gurobi.Var h_48>, <gurobi.Var h_49>, [<gurobi.Var r_36>]]), ('~Entail(4844,4842)', [<gurobi.Var h_49>, <gurobi.Var h_48>, [<gurobi.Var r_37>]]), ('Entail(4844,4843)', [<gurobi.Var h_50>, <gurobi.Var h_51>, [<gurobi.Var r_38>]]), ('~Entail(4844,4843)', [<gurobi.Var h_51>, <gurobi.Var h_50>, [<gurobi.Var r_39>]]), ('Entail(4844,4844)', [<gurobi.Var h_52>, <gurobi.Var h_53>, [<gurobi.Var r_40>]]), ('~Entail(4844,4844)', [<gurobi.Var h_53>, <gurobi.Var h_52>, [<gurobi.Var r_41>]]), ('Entail(4844,4845)', [<gurobi.Var h_54>, <gurobi.Var h_55>, [<gurobi.Var r_42>]]), ('~Entail(4844,4845)', [<gurobi.Var h_55>, <gurobi.Var h_54>, [<gurobi.Var r_43>]]), ('Entail(4844,4846)', [<gurobi.Var h_56>, <gurobi.Var h_57>, [<gurobi.Var r_44>]]), ('~Entail(4844,4846)', [<gurobi.Var h_57>, <gurobi.Var h_56>, [<gurobi.Var r_45>]]), ('Entail(4844,4847)', [<gurobi.Var h_58>, <gurobi.Var h_59>, [<gurobi.Var r_46>]]), ('~Entail(4844,4847)', [<gurobi.Var h_59>, <gurobi.Var h_58>, [<gurobi.Var r_47>]]), ('Entail(4845,4842)', [<gurobi.Var h_60>, <gurobi.Var h_61>, [<gurobi.Var r_48>]]), ('~Entail(4845,4842)', [<gurobi.Var h_61>, <gurobi.Var h_60>, [<gurobi.Var r_49>]]), ('Entail(4845,4843)', [<gurobi.Var h_62>, <gurobi.Var h_63>, [<gurobi.Var r_50>]]), ('~Entail(4845,4843)', [<gurobi.Var h_63>, <gurobi.Var h_62>, [<gurobi.Var r_51>]]), ('Entail(4845,4844)', [<gurobi.Var h_64>, <gurobi.Var h_65>, [<gurobi.Var r_52>]]), ('~Entail(4845,4844)', [<gurobi.Var h_65>, <gurobi.Var h_64>, [<gurobi.Var r_53>]]), ('Entail(4845,4845)', [<gurobi.Var h_66>, <gurobi.Var h_67>, [<gurobi.Var r_54>]]), ('~Entail(4845,4845)', [<gurobi.Var h_67>, <gurobi.Var h_66>, [<gurobi.Var r_55>]]), ('Entail(4845,4846)', [<gurobi.Var h_68>, <gurobi.Var h_69>, [<gurobi.Var r_56>]]), ('~Entail(4845,4846)', [<gurobi.Var h_69>, <gurobi.Var h_68>, [<gurobi.Var r_57>]]), ('Entail(4845,4847)', [<gurobi.Var h_70>, <gurobi.Var h_71>, [<gurobi.Var r_58>]]), ('~Entail(4845,4847)', [<gurobi.Var h_71>, <gurobi.Var h_70>, [<gurobi.Var r_59>]]), ('Entail(4846,4842)', [<gurobi.Var h_72>, <gurobi.Var h_73>, [<gurobi.Var r_60>]]), ('~Entail(4846,4842)', [<gurobi.Var h_73>, <gurobi.Var h_72>, [<gurobi.Var r_61>]]), ('Entail(4846,4843)', [<gurobi.Var h_74>, <gurobi.Var h_75>, [<gurobi.Var r_62>]]), ('~Entail(4846,4843)', [<gurobi.Var h_75>, <gurobi.Var h_74>, [<gurobi.Var r_63>]]), ('Entail(4846,4844)', [<gurobi.Var h_76>, <gurobi.Var h_77>, [<gurobi.Var r_64>]]), ('~Entail(4846,4844)', [<gurobi.Var h_77>, <gurobi.Var h_76>, [<gurobi.Var r_65>]]), ('Entail(4846,4845)', [<gurobi.Var h_78>, <gurobi.Var h_79>, [<gurobi.Var r_66>]]), ('~Entail(4846,4845)', [<gurobi.Var h_79>, <gurobi.Var h_78>, [<gurobi.Var r_67>]]), ('Entail(4846,4846)', [<gurobi.Var h_80>, <gurobi.Var h_81>, [<gurobi.Var r_68>]]), ('~Entail(4846,4846)', [<gurobi.Var h_81>, <gurobi.Var h_80>, [<gurobi.Var r_69>]]), ('Entail(4846,4847)', [<gurobi.Var h_82>, <gurobi.Var h_83>, [<gurobi.Var r_70>]]), ('~Entail(4846,4847)', [<gurobi.Var h_83>, <gurobi.Var h_82>, [<gurobi.Var r_71>]]), ('Entail(4847,4842)', [<gurobi.Var h_84>, <gurobi.Var h_85>, [<gurobi.Var r_72>]]), ('~Entail(4847,4842)', [<gurobi.Var h_85>, <gurobi.Var h_84>, [<gurobi.Var r_73>]]), ('Entail(4847,4843)', [<gurobi.Var h_86>, <gurobi.Var h_87>, [<gurobi.Var r_74>]]), ('~Entail(4847,4843)', [<gurobi.Var h_87>, <gurobi.Var h_86>, [<gurobi.Var r_75>]]), ('Entail(4847,4844)', [<gurobi.Var h_88>, <gurobi.Var h_89>, [<gurobi.Var r_76>]]), ('~Entail(4847,4844)', [<gurobi.Var h_89>, <gurobi.Var h_88>, [<gurobi.Var r_77>]]), ('Entail(4847,4845)', [<gurobi.Var h_90>, <gurobi.Var h_91>, [<gurobi.Var r_78>]]), ('~Entail(4847,4845)', [<gurobi.Var h_91>, <gurobi.Var h_90>, [<gurobi.Var r_79>]]), ('Entail(4847,4846)', [<gurobi.Var h_92>, <gurobi.Var h_93>, [<gurobi.Var r_80>]]), ('~Entail(4847,4846)', [<gurobi.Var h_93>, <gurobi.Var h_92>, [<gurobi.Var r_81>]]), ('Entail(4847,4847)', [<gurobi.Var h_94>, <gurobi.Var h_95>, [<gurobi.Var r_82>]]), ('~Entail(4847,4847)', [<gurobi.Var h_95>, <gurobi.Var h_94>, [<gurobi.Var r_83>]]), ('Contradict(4842,4842)', [<gurobi.Var h_96>, <gurobi.Var h_97>, [<gurobi.Var r_84>]]), ('~Contradict(4842,4842)', [<gurobi.Var h_97>, <gurobi.Var h_96>, [<gurobi.Var r_85>]]), ('Contradict(4842,4843)', [<gurobi.Var h_98>, <gurobi.Var h_99>, [<gurobi.Var r_86>]]), ('~Contradict(4842,4843)', [<gurobi.Var h_99>, <gurobi.Var h_98>, [<gurobi.Var r_87>]]), ('Contradict(4842,4844)', [<gurobi.Var h_100>, <gurobi.Var h_101>, [<gurobi.Var r_88>]]), ('~Contradict(4842,4844)', [<gurobi.Var h_101>, <gurobi.Var h_100>, [<gurobi.Var r_89>]]), ('Contradict(4842,4845)', [<gurobi.Var h_102>, <gurobi.Var h_103>, [<gurobi.Var r_90>]]), ('~Contradict(4842,4845)', [<gurobi.Var h_103>, <gurobi.Var h_102>, [<gurobi.Var r_91>]]), ('Contradict(4842,4846)', [<gurobi.Var h_104>, <gurobi.Var h_105>, [<gurobi.Var r_92>]]), ('~Contradict(4842,4846)', [<gurobi.Var h_105>, <gurobi.Var h_104>, [<gurobi.Var r_93>]]), ('Contradict(4842,4847)', [<gurobi.Var h_106>, <gurobi.Var h_107>, [<gurobi.Var r_94>]]), ('~Contradict(4842,4847)', [<gurobi.Var h_107>, <gurobi.Var h_106>, [<gurobi.Var r_95>]]), ('Contradict(4843,4842)', [<gurobi.Var h_108>, <gurobi.Var h_109>, [<gurobi.Var r_96>]]), ('~Contradict(4843,4842)', [<gurobi.Var h_109>, <gurobi.Var h_108>, [<gurobi.Var r_97>]]), ('Contradict(4843,4843)', [<gurobi.Var h_110>, <gurobi.Var h_111>, [<gurobi.Var r_98>]]), ('~Contradict(4843,4843)', [<gurobi.Var h_111>, <gurobi.Var h_110>, [<gurobi.Var r_99>]]), ('Contradict(4843,4844)', [<gurobi.Var h_112>, <gurobi.Var h_113>, [<gurobi.Var r_100>]]), ('~Contradict(4843,4844)', [<gurobi.Var h_113>, <gurobi.Var h_112>, [<gurobi.Var r_101>]]), ('Contradict(4843,4845)', [<gurobi.Var h_114>, <gurobi.Var h_115>, [<gurobi.Var r_102>]]), ('~Contradict(4843,4845)', [<gurobi.Var h_115>, <gurobi.Var h_114>, [<gurobi.Var r_103>]]), ('Contradict(4843,4846)', [<gurobi.Var h_116>, <gurobi.Var h_117>, [<gurobi.Var r_104>]]), ('~Contradict(4843,4846)', [<gurobi.Var h_117>, <gurobi.Var h_116>, [<gurobi.Var r_105>]]), ('Contradict(4843,4847)', [<gurobi.Var h_118>, <gurobi.Var h_119>, [<gurobi.Var r_106>]]), ('~Contradict(4843,4847)', [<gurobi.Var h_119>, <gurobi.Var h_118>, [<gurobi.Var r_107>]]), ('Contradict(4844,4842)', [<gurobi.Var h_120>, <gurobi.Var h_121>, [<gurobi.Var r_108>]]), ('~Contradict(4844,4842)', [<gurobi.Var h_121>, <gurobi.Var h_120>, [<gurobi.Var r_109>]]), ('Contradict(4844,4843)', [<gurobi.Var h_122>, <gurobi.Var h_123>, [<gurobi.Var r_110>]]), ('~Contradict(4844,4843)', [<gurobi.Var h_123>, <gurobi.Var h_122>, [<gurobi.Var r_111>]]), ('Contradict(4844,4844)', [<gurobi.Var h_124>, <gurobi.Var h_125>, [<gurobi.Var r_112>]]), ('~Contradict(4844,4844)', [<gurobi.Var h_125>, <gurobi.Var h_124>, [<gurobi.Var r_113>]]), ('Contradict(4844,4845)', [<gurobi.Var h_126>, <gurobi.Var h_127>, [<gurobi.Var r_114>]]), ('~Contradict(4844,4845)', [<gurobi.Var h_127>, <gurobi.Var h_126>, [<gurobi.Var r_115>]]), ('Contradict(4844,4846)', [<gurobi.Var h_128>, <gurobi.Var h_129>, [<gurobi.Var r_116>]]), ('~Contradict(4844,4846)', [<gurobi.Var h_129>, <gurobi.Var h_128>, [<gurobi.Var r_117>]]), ('Contradict(4844,4847)', [<gurobi.Var h_130>, <gurobi.Var h_131>, [<gurobi.Var r_118>]]), ('~Contradict(4844,4847)', [<gurobi.Var h_131>, <gurobi.Var h_130>, [<gurobi.Var r_119>]]), ('Contradict(4845,4842)', [<gurobi.Var h_132>, <gurobi.Var h_133>, [<gurobi.Var r_120>]]), ('~Contradict(4845,4842)', [<gurobi.Var h_133>, <gurobi.Var h_132>, [<gurobi.Var r_121>]]), ('Contradict(4845,4843)', [<gurobi.Var h_134>, <gurobi.Var h_135>, [<gurobi.Var r_122>]]), ('~Contradict(4845,4843)', [<gurobi.Var h_135>, <gurobi.Var h_134>, [<gurobi.Var r_123>]]), ('Contradict(4845,4844)', [<gurobi.Var h_136>, <gurobi.Var h_137>, [<gurobi.Var r_124>]]), ('~Contradict(4845,4844)', [<gurobi.Var h_137>, <gurobi.Var h_136>, [<gurobi.Var r_125>]]), ('Contradict(4845,4845)', [<gurobi.Var h_138>, <gurobi.Var h_139>, [<gurobi.Var r_126>]]), ('~Contradict(4845,4845)', [<gurobi.Var h_139>, <gurobi.Var h_138>, [<gurobi.Var r_127>]]), ('Contradict(4845,4846)', [<gurobi.Var h_140>, <gurobi.Var h_141>, [<gurobi.Var r_128>]]), ('~Contradict(4845,4846)', [<gurobi.Var h_141>, <gurobi.Var h_140>, [<gurobi.Var r_129>]]), ('Contradict(4845,4847)', [<gurobi.Var h_142>, <gurobi.Var h_143>, [<gurobi.Var r_130>]]), ('~Contradict(4845,4847)', [<gurobi.Var h_143>, <gurobi.Var h_142>, [<gurobi.Var r_131>]]), ('Contradict(4846,4842)', [<gurobi.Var h_144>, <gurobi.Var h_145>, [<gurobi.Var r_132>]]), ('~Contradict(4846,4842)', [<gurobi.Var h_145>, <gurobi.Var h_144>, [<gurobi.Var r_133>]]), ('Contradict(4846,4843)', [<gurobi.Var h_146>, <gurobi.Var h_147>, [<gurobi.Var r_134>]]), ('~Contradict(4846,4843)', [<gurobi.Var h_147>, <gurobi.Var h_146>, [<gurobi.Var r_135>]]), ('Contradict(4846,4844)', [<gurobi.Var h_148>, <gurobi.Var h_149>, [<gurobi.Var r_136>]]), ('~Contradict(4846,4844)', [<gurobi.Var h_149>, <gurobi.Var h_148>, [<gurobi.Var r_137>]]), ('Contradict(4846,4845)', [<gurobi.Var h_150>, <gurobi.Var h_151>, [<gurobi.Var r_138>]]), ('~Contradict(4846,4845)', [<gurobi.Var h_151>, <gurobi.Var h_150>, [<gurobi.Var r_139>]]), ('Contradict(4846,4846)', [<gurobi.Var h_152>, <gurobi.Var h_153>, [<gurobi.Var r_140>]]), ('~Contradict(4846,4846)', [<gurobi.Var h_153>, <gurobi.Var h_152>, [<gurobi.Var r_141>]]), ('Contradict(4846,4847)', [<gurobi.Var h_154>, <gurobi.Var h_155>, [<gurobi.Var r_142>]]), ('~Contradict(4846,4847)', [<gurobi.Var h_155>, <gurobi.Var h_154>, [<gurobi.Var r_143>]]), ('Contradict(4847,4842)', [<gurobi.Var h_156>, <gurobi.Var h_157>, [<gurobi.Var r_144>]]), ('~Contradict(4847,4842)', [<gurobi.Var h_157>, <gurobi.Var h_156>, [<gurobi.Var r_145>]]), ('Contradict(4847,4843)', [<gurobi.Var h_158>, <gurobi.Var h_159>, [<gurobi.Var r_146>]]), ('~Contradict(4847,4843)', [<gurobi.Var h_159>, <gurobi.Var h_158>, [<gurobi.Var r_147>]]), ('Contradict(4847,4844)', [<gurobi.Var h_160>, <gurobi.Var h_161>, [<gurobi.Var r_148>]]), ('~Contradict(4847,4844)', [<gurobi.Var h_161>, <gurobi.Var h_160>, [<gurobi.Var r_149>]]), ('Contradict(4847,4845)', [<gurobi.Var h_162>, <gurobi.Var h_163>, [<gurobi.Var r_150>]]), ('~Contradict(4847,4845)', [<gurobi.Var h_163>, <gurobi.Var h_162>, [<gurobi.Var r_151>]]), ('Contradict(4847,4846)', [<gurobi.Var h_164>, <gurobi.Var h_165>, [<gurobi.Var r_152>]]), ('~Contradict(4847,4846)', [<gurobi.Var h_165>, <gurobi.Var h_164>, [<gurobi.Var r_153>]]), ('Contradict(4847,4847)', [<gurobi.Var h_166>, <gurobi.Var h_167>, [<gurobi.Var r_154>]]), ('~Contradict(4847,4847)', [<gurobi.Var h_167>, <gurobi.Var h_166>, [<gurobi.Var r_155>]])])
